<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b1d4c9aba20> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b1d4c9abdb0> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b1d4c9abf90> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b1d4c9aba20> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b1d4c9abdb0> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
6.6%	660000	-32431.39801383851	288.3129918474632	30.140782590448016	0.9885439644157554
6.7%	670000	-31856.72090233158	302.1422330915161	30.520578634319328	0.976242589288621
6.8%	680000	-32156.83973922534	301.57804391527515	30.85145338324427	0.9657726118257072
6.9%	690000	-32081.33094297297	303.5882231099307	30.626857226516858	0.9728549192033261
7.0%	700000	-31856.674661293102	305.35201253232293	30.524843883893418	0.9761061784914352
7.1%	710000	-31698.21695196809	311.3791550074371	30.40756744569528	0.97987084188061
7.2%	720000	-31591.462039541395	314.45261053173834	30.304226190769214	0.9832123257326627
7.3%	730000	-31668.941911435628	305.7250924184686	30.44175077760339	0.9787705355789197
7.4%	740000	-31706.18408808409	292.7257288076302	30.585761351945848	0.9741620739697328
7.5%	750000	-31876.89529121382	303.9952735190988	30.52017286513523	0.976255568545347
7.6%	760000	-32070.55888461921	302.7585012573939	30.595119590942076	0.9738641035211398
7.7%	770000	-32037.886345470615	302.44893693438195	30.989617680923388	0.9614668054100063
7.8%	780000	-31545.708310761896	312.31016396542634	30.491693168482005	0.977167405821636
7.9%	790000	-31879.277430484013	298.2574832162919	30.321167124202727	0.9826629888785428
8.0%	800000	-32223.521214042616	299.0719832479567	30.675218050408702	0.9713211708419421
8.1%	810000	-32160.23108278442	294.99605849753254	30.537322170927027	0.9757073179429457
8.2%	820000	-31640.1706513869	297.4380949898549	31.106545391466216	0.9578527071260371
8.3%	830000	-31502.91489086143	304.07125271917386	30.907601434171685	0.9640181486102877
8.4%	840000	-32086.497821173572	295.6183420490424	30.72496420641721	0.9697485247625377
8.5%	850000	-32041.923609659483	305.3180753760814	30.344217283630893	0.9819165356632205
8.6%	860000	-32273.442674437363	297.09804225110724	30.035186106643973	0.9920194470166414
8.7%	870000	-31807.51189255988	307.2161139738825	30.20099113868385	0.9865732080027801
8.8%	880000	-31438.98687717499	309.68629894887334	30.862703807272144	0.9654205574021737
8.9%	890000	-31660.92818366707	308.11176179979634	30.089890081217384	0.9902159373840222
9.0%	900000	-31559.510006422584	305.135888964674	30.081008975401062	0.9905082883662684
9.1%	910000	-31393.790009570017	310.230348323388	30.563451074189626	0.9748731790866609
9.2%	920000	-31861.729593604512	303.86917471486805	30.322698480607745	0.9826133624489243
9.3%	930000	-31731.336251790344	301.39129706926803	30.72437999457863	0.9697669641441856
9.4%	940000	-31909.581576998055	310.3878746053452	30.419865378253608	0.9794747064809468
9.5%	950000	-32173.996610446775	302.3450748199091	30.191764603649336	0.9868747025456546
9.6%	960000	-31672.115859830577	313.81905348859976	30.349312172749663	0.9817516964785754
9.7%	970000	-32026.1911189183	299.38857540998754	30.336255468963916	0.9821742417431086
9.8%	980000	-32041.76437898673	298.5392836395522	30.466088650885865	0.9779886435040783
9.9%	990000	-32220.48979316483	293.46537136892414	30.039722316710534	0.9918696450792486
10.0%	1000000	-31761.69410482765	304.05245721010016	30.485341878261938	0.977370988048555
10.1%	1010000	-31800.38381769642	296.0703300487018	30.71682604620738	0.970005451335807
10.2%	1020000	-31747.89277324587	307.17812213835407	30.019802106050083	0.9925278190474808
10.3%	1030000	-32219.799418209994	299.974450612644	29.822883052926887	0.99908143219006
10.4%	1040000	-31687.432901159336	303.71688882877936	30.726686968572178	0.9696941535880597
10.5%	1050000	-31652.105528695683	305.59768719552505	30.718884977309923	0.969940436788734
10.6%	1060000	-31531.756865098083	310.4468866662495	30.34778858615669	0.9818009845417943
10.7%	1070000	-31926.42793268239	305.0385142164448	30.363951230188334	0.9812783746975494
10.8%	1080000	-31818.519920413557	306.74070681926594	30.34269497924046	0.9819657987841892
10.9%	1090000	-31340.002524893207	311.6407489734151	30.39336928641788	0.9803285852177569
11.0%	1100000	-31784.184177032614	301.33953041227187	30.42755119162809	0.9792272971593214
11.1%	1110000	-32010.2531995654	300.32177025799245	30.512828791277254	0.9764905416135178
11.2%	1120000	-31702.24693915926	302.6364043975041	30.759128257077524	0.9686714286416447
11.3%	1130000	-31964.50778506737	306.88403531615444	30.30150013431126	0.9833007798454366
11.4%	1140000	-32230.04361023259	297.2317831448329	29.9955737824008	0.9933295135043113
11.5%	1150000	-31497.824505571683	314.7224343604353	30.629041000393165	0.9727855570852642
11.6%	1160000	-32127.97005177004	305.2885180527592	30.631953341779447	0.9726930692309551
11.7%	1170000	-32061.640735739784	307.8590528459035	30.4261609630652	0.9792720398976419
11.8%	1180000	-31694.931566694228	307.55788543398995	30.436705895517036	0.9789327667335834
11.9%	1190000	-31012.033137207094	317.69667801596	30.836879209323325	    0.9662290567829703
12.0%	1200000	-31364.45236252778	319.74373543411747	30.298502731088433	0.9833980568941632
12.1%	1210000	-31772.804778435675	303.971860894436	30.750553143878342	0.9689415527956575
12.2%	1220000	-31383.44207560731	315.60242527782276	30.476160498602393	0.9776654350511527
12.3%	1230000	-31875.045631602115	297.98931891056804	30.60198463520423	0.9736456333710599
12.4%	1240000	-32060.27617521485	301.1206219122561	30.37394505555713	0.9809555083495343
12.5%	1250000	-31562.95633071469	315.5886369430381	30.670796926738646	0.9714611845178144
12.6%	1260000	-31972.0326962198	303.48633983026633	30.41203601784097	0.9797268652146666
12.7%	1270000	-31634.34188453894	302.71312477442393	30.85563359294809	0.9656417724432818
