<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b86dc45ba50> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b86dc45be10> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b86dc45bfc0> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b86dc45ba50> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b86dc45be10> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
74.0%	740000	-31484.102122995013	305.2045430115057	30.841113533274257	0.9660963985755159
75.0%	750000	-31360.251463747525	313.8161094469945	30.173321786778704	0.9874779092307496
76.0%	760000	-31641.251178845705	306.2789627258653	30.409039983405734	0.9798233922811872
77.0%	770000	-31582.698461970722	307.258311210057	30.74246235198202	0.9691965585389714
78.0%	780000	-31058.05133339105	310.0706920045693	30.549196481750275	0.9753280656777448
79.0%	790000	-31559.65746807953	309.9229487151753	30.546831850587708	0.9754035658523328
80.0%	800000	-32004.9725840147	298.487480545018	30.41540752774002	0.9796182637165137
81.0%	810000	-31331.819996503124	313.7951012411374	30.52259139073405	0.9761782127581762
82.0%	820000	-31475.76193402981	316.0942025500058	30.219457023931675	0.9859703531059126
83.0%	830000	-31568.30330176506	308.5346131388304	30.77840852367639	0.9680646317250154
84.0%	840000	-31383.97254254989	313.2767482901926	30.552781536605927	0.9752136209548143
85.0%	850000	-31174.281261645665	311.73334995774104	31.095728784461375	0.9581858948886819
86.0%	860000	-31397.755788653973	313.41132743334856	30.366590825643193	0.9811930777357445
87.0%	870000	-31365.699537497654	304.6745668154924	30.958294884807195	0.9624395924717746
88.0%	880000	-31578.83287176251	318.84934911511743	30.446570028025324	0.9786156103997542
89.0%	890000	-31656.79221733095	309.88480108474494	30.503390537950068	0.976792683930841
90.0%	900000	-31500.559024909453	309.2164898096765	30.414310252955982	0.9796536059751354
91.0%	910000	-31941.012183804007	302.5999232069682	30.425134937166977	0.9793050638587983
92.0%	920000	-31517.131105174252	308.7856968963905	30.77767420301668	0.9680877286573673
93.0%	930000	-31232.774332078116	316.19312477804675	30.255072741316155	0.9848096868683549
94.0%	940000	-31540.51950549934	309.2451390918023	30.488726936228748	0.977262473926055
95.0%	950000	-31731.080643613765	304.71333441870115	30.927727266783204	0.9633908258288225
96.0%	960000	-31992.350483803486	305.36380931083715	30.26005191969734	0.9846476401172307
97.0%	970000	-31412.7393109877	312.08427322354214	30.480823989041713	0.977515854665437
98.0%	980000	-31331.32813436928	309.15405371947185	30.482542422034605	0.9774607478612711
99.0%	990000	-31284.065839516174	308.5718632268931	31.249027814269812	0.9534853016754911
100.0%	1000000	-31039.085703617835	307.34150848315096	31.08750613611872	0.9584393351494112
