<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2af9aae63a20> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2af9aae63a50> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2af9aae63f90> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2af9aae63a20> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2af9aae63a50> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
3.6%	360000	-32129.08788478555	298.3286708666667	30.1397070001328	0.9885792424068217
3.7%	370000	-32515.317682959372	293.5981526209736	30.38358895465786	0.9806441482939809
3.8%	380000	-32414.224885647593	302.0306954003349	30.416334562740573	0.9795884067192556
3.9%	390000	-32224.795732382976	304.7751483776861	29.88656204219351	0.9969526996945963
4.0%	400000	-32415.094034122943	301.4583134242379	30.031825883665807	0.9921304428166825
4.1%	410000	-32552.02272234502	299.2682485497317	30.159270031072214	0.9879379932557202
4.2%	420000	-32424.668307598622	296.2356923585413	30.568117321027277	0.9747243639391249
4.3%	430000	-32261.30314868217	297.5479118334716	30.11331163300004	0.9894457665660097
4.4%	440000	-32240.46327938669	300.099994123564	30.202122042716315	0.9865362662402883
4.5%	450000	-31952.811392730044	300.597555264875	30.50368237213667	0.9767833387804778
4.6%	460000	-31812.35702100926	300.2238308887841	30.03038402481268	0.992178078306833
4.7%	470000	-32411.753923350887	295.66214381200615	30.54731922498172	0.9753880035465761
4.8%	480000	-32427.71909774508	285.9579921268661	30.078598330877142	0.9905876724969709
4.9%	490000	-32651.015428711602	287.84639371078134	30.359533669555102	0.9814211587325575
5.0%	500000	-32054.13972843456	305.98896199161754	30.29049609126137	0.9836579969765066
5.1%	510000	-31611.45947864669	306.3580398440601	30.24778012729052	0.9850471203892553
5.2%	520000	-32756.622258637042	297.273292575622	30.48914085179679	0.977249206771235
5.3%	530000	-32618.252807979414	293.33018770591576	30.080811916493015	0.9905147771699038
5.4%	540000	-31832.904900638794	305.6284198955422	30.871595029207928	0.9651425099469286
5.5%	550000	-32054.269068631984	297.8676848771523	30.213885681888325	0.986152162825443
5.6%	560000	-32181.14758969989	306.2988657224207	30.15733901980078	0.988001252132745
5.7%	570000	-32521.88661293307	294.9929412366851	30.574074656040505	0.9745344396438892
5.8%	580000	-32271.291644343582	293.4355962115586	30.735374588216395	0.969420061142776
5.9%	590000	-32445.485739339318	297.1101514440984	30.15961252387737	0.9879267742238322
6.0%	600000	-31921.212934236217	298.35887288198023	30.45531981058861	0.9783344551251656
6.1%	610000	-32261.74359242164	303.17140179761344	30.355386414262828	0.9815552438019736
6.2%	620000	-32165.272988256707	311.9904172014616	30.29060024762843	0.983654614599051
6.3%	630000	-32303.40104346996	306.77758598983064	30.150673540226137	0.9882196718691078
6.4%	640000	-32418.455832088774	296.218449918397	30.32321174125472	0.9825967304122376
6.5%	650000	-32194.353639414476	307.5169762122018	30.517429921806375	0.9763433155707637
6.6%	660000	-32538.04086435301	301.5573591994827	30.063378727908084	0.9910891580824035
6.7%	670000	-32235.232382688147	296.56787300122534	30.86628060690762	0.9653086839976074
6.8%	680000	-32501.095114587282	295.22240100965973	30.39595441501715	0.9802452097978661
6.9%	690000	-32166.932171321183	300.0169273889009	30.518652795220532	0.976304193782141
7.0%	700000	-32723.840417006228	294.42407176114307	30.507136387168046	0.976672747465327
7.1%	710000	-32583.550749915128	295.95348857811865	30.243171025397018	0.9851972429588747
7.2%	720000	-32352.254018721113	313.6763130216655	29.83108702681862	0.9988066705637729
7.3%	730000	-32369.202516791353	297.09953363016274	30.29080681257882	0.9836479066705393
7.4%	740000	-32709.06849520089	306.4385982975027	30.071277495848516	0.9908288304901006
7.5%	750000	-32540.649497234204	306.37115266845217	30.04666003127789	0.9916406243335678
7.6%	760000	-31846.3472285326	309.45280782650025	30.21796265026864	0.9860191124529695
7.7%	770000	-32355.46856418949	296.146831905134	29.770956886774467	1.0008240187197777
7.8%	780000	-32309.215037109272	300.9682885317925	29.93479671842854	0.9953462852217092
7.9%	790000	-32484.72043115244	290.891259537109	30.61101957991093	0.9733582586092208
8.0%	800000	-32278.846982422227	297.4064530292857	30.24969256196097	0.9849848441112005
8.1%	810000	-32170.74390581803	296.2748076258442	30.270833907951843	0.9842969243317703
8.2%	820000	-32625.373298700142	300.43460340100813	30.624276790244423	0.9729368930614691
8.3%	830000	-32305.383702313935	300.1132668544223	30.020727759570107	0.9924972156298429
8.4%	840000	-32408.402076274797	304.79855270173704	30.537822164508604	0.9756913427567048
8.5%	850000	-32036.39905472094	305.36374101283417	29.977994921993304	0.9939119941172403
