<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b711c5cb930> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b711c5cba50> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b711c5cbde0> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b711c5cb930> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b711c5cba50> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
78.0%	780000	-31369.812376329384	305.48112600141235	30.646136256273756	0.9722429106036244
79.0%	790000	-32432.152771029097	289.1956382143431	30.426286877220154	0.9792679873423017
80.0%	800000	-31726.477787024167	304.95092846269944	30.645364094597717	0.9722674079048493
81.0%	810000	-32029.128976921493	303.20433385044	30.56617127864915	    0.9747864212672059
82.0%	820000	-31563.347828771395	310.4281213729785	30.839817688868067	0.9661369925448631
83.0%	830000	-32220.764736552665	301.4067621343971	30.581080064873262	0.9743111966401485
84.0%	840000	-31778.213271350076	305.9532792633007	30.515815414674176	0.9763949711868775
85.0%	850000	-31233.44191380503	314.80202561395777	30.481399920982952	0.9774973849558689
86.0%	860000	-31869.35723807424	304.48258710470634	29.868716850004393	0.9975483333342618
87.0%	870000	-32157.59728304454	300.6445621506989	30.19063833674497	0.9869115180744895
88.0%	880000	-31865.69377554598	306.53486227908974	30.731955272956508	0.9695279212765966
89.0%	890000	-32039.423356783984	303.21198533633816	30.824465093458883	0.9666181918231445
90.0%	900000	-32051.025081436674	297.6988036915096	30.476438105467068	0.9776565295932645
91.0%	910000	-32131.527693425247	300.1829780600618	30.09785107741111	0.9899540214987915
92.0%	920000	-32138.11382983293	301.4411557075474	30.62608449798626	0.9728794653627363
93.0%	930000	-31697.14746734308	310.16057876826386	30.694718712170264	0.9707040807883713
94.0%	940000	-31688.84028714703	302.39164228230686	30.3691267893637	0.9811111435377279
95.0%	950000	-31965.492341561883	311.26612599230174	30.695697232252396	0.9706731366000161
96.0%	960000	-31688.92912570102	309.57284269072295	30.82306445308173	0.9666621162184889
97.0%	970000	-31661.491431483475	310.39465119703203	30.81179895301297	0.9670155500492539
98.0%	980000	-31612.685277366953	304.61221608545674	30.11595498548289	0.9893589204432499
99.0%	990000	-31490.12994207855	315.1008981565267	30.624361271676417	0.9729342090837939
100.0%	1000000	-32149.041084781697	301.99216217014225	30.186102291000655	0.9870598206194298
