<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b7bce027b40> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b7bce027ab0> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b7bce027f90> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b7bce027b40> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b7bce027ab0> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
68.0%	680000	-32703.14390065515	290.20153716821466	30.54006660414507	0.9756196375980023
69.0%	690000	-32151.58178158378	300.09018780087786	30.552481864707705	0.9752231862699419
70.0%	700000	-32144.3203465924	297.57742324586627	30.9060201573183	0.9640674716734607
71.0%	710000	-32445.382420839684	297.284209825852	30.30546211543196	0.9831722281305385
72.0%	720000	-32426.05656429002	298.6300845234343	30.593186290279053	0.9739256457253144
73.0%	730000	-31975.08336875908	308.9172448668804	30.213750212197734	0.9861565844456472
74.0%	740000	-32552.5536155132	292.91220724093404	29.892522725853226	0.9967539035032851
75.0%	750000	-32469.836163283733	297.61579978470184	29.9839032282095	0.9937161444852393
76.0%	760000	-32219.88200099388	306.491414804083	30.476692786168194	0.9776483597353288
77.0%	770000	-32122.618070152646	306.43471406417217	30.47210821429364	0.9777954483168516
78.0%	780000	-32148.28242187499	302.8482912352182	30.28852236078583	0.9837220963651468
79.0%	790000	-31805.23318049329	302.8968387950576	30.542767532917686	0.9755333625364029
80.0%	800000	-32315.601043445	296.0785716852081	30.591031181734255	0.9739942578446195
81.0%	810000	-32502.789578804688	289.77784832251194	29.867761785565516	0.9975802313702132
82.0%	820000	-32272.270184105204	310.14997346643503	30.299893797384783	0.9833529091486961
83.0%	830000	-32331.202266250213	300.82533380768575	30.185897594221903	0.9870665140750439
84.0%	840000	-32051.578065496346	312.1090151575331	29.89846335115591	0.9965558551490886
85.0%	850000	-32404.406882159994	305.012933457331	30.373278194090144	0.9809770457491248
86.0%	860000	-32658.45678798209	288.34712140282676	30.28039077505533	0.9839862680074815
87.0%	870000	-32148.60745977977	306.57672264703865	30.388695281181686	0.9804793669771613
88.0%	880000	-32586.217126768926	293.0887341053347	29.917899465175363	0.9959084442822267
89.0%	890000	-32446.748404293496	296.00656590292726	30.090136084768	    0.9902078418195558
90.0%	900000	-32062.048816852213	306.66466233479014	30.449703356963088	0.9785149091030924
91.0%	910000	-32330.500611809664	299.65486932214156	30.033626283180563	0.9920709684411615
92.0%	920000	-31806.370790603047	301.42011012868136	30.231930364451642	0.9855635532817326
93.0%	930000	-32131.397805448563	308.9121328713721	30.624625964653863	0.9729257998756958
94.0%	940000	-32430.04310823552	300.8525086753636	30.03606614177751	0.991990381560386
95.0%	950000	-32374.297253613535	293.4039078079141	30.480800732951938	0.9775166004856229
96.0%	960000	-32273.184506526624	303.334240091391	30.412071214432313	0.9797257313541721
97.0%	970000	-32283.578259279428	310.0532471412702	30.51892762157795	0.9762954020536556
98.0%	980000	-32522.08257264056	290.5966590588598	30.534099555832764	0.9758102955704548
99.0%	990000	-32073.010190752277	292.68050424080843	30.238914224609072	0.9853359314173609
100.0%	1000000	-31961.72257459961	311.740747404123	30.049153918251122	0.9915583245243325
