<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b163d4c3a80> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b163d4c3e40> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b163d4c3ba0> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b163d4c3a80> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b163d4c3e40> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
4.4%	440000	-31676.6667193794	306.4182821088178	30.458300194284785	0.9782387238453217
4.5%	450000	-31920.212342806568	298.20473041537673	30.866903739700934	0.9652891966041925
4.6%	460000	-31415.683804806264	309.98795934713377	30.488275562777876	0.9772769421216851
4.7%	470000	-30957.92651558685	311.2970931929312	31.027860190710104	0.9602817767457835
4.8%	480000	-30990.676359323727	315.7584829890841	30.4846689484082	0.9773925628971173
4.9%	490000	-31620.514957630716	300.17845695496266	30.84528127071139	0.9659658620408388
5.0%	500000	-31424.027704847394	316.05518316886673	30.680383362092886	0.9711576404018682
5.1%	510000	-31436.467372982705	307.6942492238012	30.80810737465836	0.967131422589872
5.2%	520000	-31378.798736779892	303.16918102351855	30.81371795574392	0.9669553266940561
5.3%	530000	-31569.83812717296	309.2820183180543	30.676337541714695	0.9712857237940474
5.4%	540000	-31436.40806256322	313.4989533281776	30.952582440170648	0.9626172152242103
5.5%	550000	-31428.94205595361	304.99515643431744	30.249352485215706	0.9849959177512092
5.6%	560000	-31203.64030854305	308.24542963684553	30.680584939591522	0.9711512597044885
5.7%	570000	-31366.786168793624	305.90755452717315	30.361456940684846	0.9813589898127854
5.8%	580000	-31571.116302615905	312.45356284972434	30.224799841685954	0.985796063782729
5.9%	590000	-31248.703959393955	306.32617035824063	30.735851337835165	0.9694050242843695
6.0%	600000	-31499.103545914462	308.6716539872587	30.89049296358051	0.9645520629173306
6.1%	610000	-31482.565001250186	304.8794571553192	30.59485892273138	0.9738724008437053
6.2%	620000	-31581.112170193286	305.80066752477285	29.98920305816609	0.9935405303957059
6.3%	630000	-31429.25875029218	307.77375614467076	30.369979889830304	0.9810835838759375
6.4%	640000	-31536.407204189978	296.67032211273886	30.745243587073507	0.9691088843765754
6.5%	650000	-31423.846573920397	308.1181946389608	30.153277771059027	0.9881343228679582
6.6%	660000	-31374.027425064647	320.7896725008072	30.205771146496602	0.9864170846043993
6.7%	670000	-31498.702872698137	317.59860115621257	30.293165478056782	0.9835713185582267
6.8%	680000	-31673.151968821825	313.84843256390997	30.358683090986677	0.981448655834514
6.9%	690000	-31514.61609710072	297.5340502716431	30.59848786088681	0.9737569009297874
7.0%	700000	-31755.832973091805	305.2197869698352	30.30451357084173	0.9832030018532737
7.1%	710000	-31503.75212936994	308.6304322250713	30.5944279874912	0.9738861182414332
